#{"t_start": 1681844333.6413796, "env_id": null}
r,l,t
-116.614588,93,399.334357
46.949246,201,400.107755
-39.937146,23,400.129898
-101.11314,33,400.160905
-104.335812,36,400.494372
-39.6903,21,400.515152
49.520654,201,401.20909
-41.003495,33,401.7837
-38.337008,27,401.809655
-97.353658,65,401.871842
-39.043797,35,402.275191
-61.746632,177,402.955223
-1.359668,201,403.620881
-44.557042,70,403.690409
-120.231299,132,404.201621
30.317974,201,404.925171
-101.749897,14,404.939099
-36.056587,68,405.002275
-39.141268,22,405.377185
-40.156795,22,405.398459
-47.008595,83,405.474592
-50.88766,72,405.944183
-100.784438,21,405.964319
-39.454975,21,405.984369
-60.301974,52,406.323745
-39.845665,35,406.356835
-46.927739,64,406.420129
-101.248504,41,406.832884
-19.134127,31,406.862306
-40.644145,10,406.87236
-40.613925,10,406.882341
-39.857232,11,406.893509
-40.510141,48,407.186522
-23.59786,176,407.927266
-39.116886,11,407.939239
-28.101309,162,408.463231
-101.276852,19,408.482369
-100.130577,15,408.963767
-37.057424,145,409.676865
-40.668393,11,409.687742
-41.360574,23,409.70987
-9.315675,76,410.161668
12.280127,201,410.925261
-39.41249,11,410.937094
